letzterschrittjahr,m,w
2001,76.9,60.0
2002,70.0,86.35
2003,35.13333333333333,48.333333333333336
2004,35.375,49.375
2005,40.54,43.839999999999996
2006,27.25,31.360000000000003
2007,20.37142857142857,24.333333333333332
2008,27.914285714285715,24.387500000000003
2009,30.142857142857142,25.2
2010,40.08571428571429,31.728571428571428
2011,23.785714285714285,30.785714285714285
2012,43.542857142857144,38.71666666666667
2013,37.0375,44.8
2014,20.011111111111113,13.1
2015,25.957142857142856,21.25714285714286
2016,31.514285714285716,45.57142857142857
2017,24.0,5.55
2018,24.133333333333336,45.833333333333336
2019,35.1875,27.78333333333333
2020,32.6375,47.5
2021,44.82222222222222,49.075
2022,52.73333333333333,28.571428571428573
